Iteration: 0  Scored rings: 1  Reward: 0.860541
Iteration: 1  Scored rings: 2  Reward: 1.855651
Iteration: 2  Scored rings: 4  Reward: 3.624293
Iteration: 3  Scored rings: 5  Reward: 4.596061
Iteration: 4  Scored rings: 5  Reward: 4.669541
Iteration: 5  Scored rings: 4  Reward: 3.591824
Iteration: 6  Scored rings: 6  Reward: 5.485739
Iteration: 7  Scored rings: 4  Reward: 3.680287
Iteration: 8  Scored rings: 7  Reward: 6.255220
Iteration: 9  Scored rings: 3  Reward: 2.753282
Iteration: 10  Scored rings: 5  Reward: 4.551155
Iteration: 11  Scored rings: 6  Reward: 5.428408
Iteration: 12  Scored rings: 2  Reward: 1.864962
Iteration: 13  Scored rings: 6  Reward: 5.412034
Iteration: 14  Scored rings: 9  Reward: 8.426869
Iteration: 15  Scored rings: 5  Reward: 4.480359
Iteration: 16  Scored rings: 3  Reward: 2.840964
Iteration: 17  Scored rings: 5  Reward: 4.591745
Iteration: 18  Scored rings: 7  Reward: 6.403225
Iteration: 19  Scored rings: 3  Reward: 2.716807
Iteration: 20  Scored rings: 2  Reward: 1.837655
Iteration: 21  Scored rings: 2  Reward: 1.850699
Iteration: 22  Scored rings: 4  Reward: 3.682060
Iteration: 23  Scored rings: 4  Reward: 3.625156
Iteration: 24  Scored rings: 3  Reward: 2.808344
Iteration: 25  Scored rings: 4  Reward: 3.686967
Iteration: 26  Scored rings: 5  Reward: 4.471551
Iteration: 27  Scored rings: 3  Reward: 2.730260
Iteration: 28  Scored rings: 5  Reward: 4.667375
Iteration: 29  Scored rings: 4  Reward: 3.720485
Iteration: 30  Scored rings: 4  Reward: 3.739608
Iteration: 31  Scored rings: 5  Reward: 4.516258
Iteration: 32  Scored rings: 6  Reward: 5.366824
Iteration: 33  Scored rings: 5  Reward: 4.562508
Iteration: 34  Scored rings: 5  Reward: 4.633086
Iteration: 35  Scored rings: 2  Reward: 1.834972
